s_0001[ce],13BDglcn[ce]
s_0002[c],13BDglcn[c]
s_0003[e],13BDglcn[e]
s_0004[ce],16BDglcn[ce]
s_0006[m],2ahhmd[m]
s_0007[c],aconm[c]
s_0008[m],23dhmp[m]
s_0009[c],3c2hmp[c]
s_0010[c],3c4mop[c]
s_0011[m],3c4mop[m]
s_0012[m],micit[m]
s_0013[c],5s6sdihet[c]
s_0014[n],5s6sdihet[n]
s_0015[c],argsuc[c]
s_0016[m],23dhmb[m]
s_0017[c],4ppan[c]
s_0018[c],5dpmev[c]
s_0019[c],5pmev[c]
s_0020[c],actn__R[c]
s_0021[c],crn[c]
s_0022[e],crn[e]
s_0023[m],crn[m]
s_0024[x],crn[x]
s_0025[c],lac__D[c]
s_0026[e],lac__D[e]
s_0027[m],lac__D[m]
s_0028[c],mev__R[c]
s_0029[e],mev__R[e]
s_0030[c],pant__R[c]
s_0031[c],pnto__R[c]
s_0032[e],pnto__R[e]
s_0033[c],lgt__S[c]
s_0034[m],lgt__S[m]
s_0035[c],btd_RR[c]
s_0036[e],btd_RR[e]
s_0037[c],Ssq23epx[c]
s_0038[r],Ssq23epx[r]
s_0039[m],2ahbut[m]
s_0042[x],3hdcoa[x]
s_0045[x],s3hydhexcoa[x]
s_0048[x],3hddcoa[x]
s_0051[x],3hhdcoa[x]
s_0054[x],3htdcoa[x]
s_0056[c],3mop[c]
s_0058[e],3mop[e]
s_0060[m],3mop[m]
s_0061[c],dhor__S[c]
s_0062[c],lald__L[c]
s_0063[c],lac__L[c]
s_0064[e],lac__L[e]
s_0065[m],lac__L[m]
s_0066[c],mal__L[c]
s_0067[e],mal__L[e]
s_0068[m],mal__L[m]
s_0069[x],mal__L[x]
s_0075[c],13dpg[c]
s_0076[c],2cpr5p[c]
s_0077[c],prfp[c]
s_0078[c],prbamp[c]
s_0079[c],g3pi[c]
s_0080[e],g3pi[e]
s_0084[e],pchol_cho[e]
s_0086[c],3ig3p[c]
s_0087[c],1mncam[c]
s_0089[c],pail_cho[c]
s_0116[c],1p3h5c[c]
s_0117[m],1p3h5c[m]
s_0118[c],1pyr5c[c]
s_0119[m],1pyr5c[m]
s_0120[c],10fthf[c]
s_0121[m],10fthf[m]
s_0122[c],44mzym[c]
s_0123[n],mi1345p[n]
s_0124[n],mi3456p[n]
s_0125[n],mi145p[n]
s_0126[c],mi1p__D[c]
s_0127[r],mi1p__D[r]
s_0129[m],mi3p__D[m]
s_0131[c],23camp[c]
s_0132[c],dad_2[c]
s_0133[e],dad_2[e]
s_0134[c],dgsn[c]
s_0135[e],dgsn[e]
s_0136[c],din[c]
s_0137[e],din[e]
s_0138[c],duri[c]
s_0139[e],duri[e]
s_0140[c],23dpg[c]
s_0141[c],25drapp[c]
s_0142[c],25dthpp[c]
s_0143[c],caphis[c]
s_0144[c],cmaphis[c]
s_0145[m],acg5sa[m]
s_0146[m],2aceaci[m]
s_0147[c],cmusa[c]
s_0148[m],6hmhpt[m]
s_0149[c],2dhp[c]
s_0150[m],2dhp[m]
s_0152[c],drib[c]
s_0153[c],2dr5p[c]
s_0154[m],2hpmhmbq[m]
s_0155[m],2hp6mbq[m]
s_0156[m],2hpmmbq[m]
s_0157[m],2hp6mp[m]
s_0158[c],db4p[c]
s_0161[r],2hhxdal[r]
s_0162[c],3c3hmp[c]
s_0163[e],3c3hmp[e]
s_0164[m],3c3hmp[m]
s_0165[c],2ippm[c]
s_0166[c],2mbald[c]
s_0167[e],2mbald[e]
s_0168[m],2mbald[m]
s_0169[c],2mbtoh[c]
s_0170[e],2mbtoh[e]
s_0171[m],2mbtoh[m]
s_0172[c],2mbac[c]
s_0173[e],2mbac[e]
s_0174[m],2mcit[m]
s_0176[c],2oxoadp[c]
s_0177[m],2oxoadp[m]
s_0178[c],2obut[c]
s_0179[m],2obut[m]
s_0180[c],akg[c]
s_0181[e],akg[e]
s_0182[m],akg[m]
s_0183[n],akg[n]
s_0184[x],akg[x]
s_0185[c],2phetoh[c]
s_0186[e],2phetoh[e]
s_0187[m],2phetoh[m]
s_0188[c],2pg[c]
s_0189[c],ggdp[c]
s_0190[c],frdp[c]
s_0191[m],frdp[m]
s_0192[c],camp[c]
s_0193[c],35ccmp[c]
s_0194[c],35cdamp[c]
s_0195[c],35cgmp[c]
s_0196[c],35cimp[c]
s_0197[c],dpcoa[c]
s_0200[m],dpcoa[m]
s_0201[c],paps[c]
s_0204[c],34hpp[c]
s_0206[x],34hpp[x]
s_0207[c],imacp[c]
s_0208[c],aproa[c]
s_0209[c],3deh4met[c]
s_0210[c],3dhq[c]
s_0211[c],3dhsk[c]
s_0212[c],3dh5hpb[c]
s_0213[m],3dh5hpb[m]
s_0214[m],3hph5mb[m]
s_0215[c],3ophb_5[c]
s_0216[m],3ophb_5[m]
s_0217[c],3hy2is4me4oxbu[c]
s_0218[c],hmgcoa[c]
s_0221[m],hmgcoa[m]
s_0222[c],hLkynr[c]
s_0224[c],3hanthrn[c]
s_0229[x],CE2248[x]
s_0231[r],3dsphgn[r]
s_0232[c],3mob[c]
s_0233[m],3mob[m]
s_0234[c],3mbald[c]
s_0235[e],3mbald[e]
s_0236[m],3mbald[m]
s_0239[x],3odcoa[x]
s_0243[x],3ohxccoa[x]
s_0247[x],3oddcoa[x]
s_0250[x],3ohodcoa[x]
s_0253[x],3ohdcoa[x]
s_0257[x],3otdcoa[x]
s_0258[c],3php[c]
s_0259[c],pser__L[c]
s_0260[c],3pg[c]
s_0261[c],skm5p[c]
s_0262[c],44mctr[c]
s_0263[c],45bidi1dmyinte[c]
s_0264[c],phthr[c]
s_0267[c],2mahmp[c]
s_0268[c],4ampm[c]
s_0269[c],4adcho[c]
s_0270[c],4ahmmp[c]
s_0271[c],4abz[c]
s_0272[e],4abz[e]
s_0273[m],4abz[m]
s_0274[c],4abutn[c]
s_0275[m],4abutn[m]
s_0279[c],4dip1dmyoinopen[c]
s_0280[c],4gudbd[c]
s_0281[c],4gudbutn[c]
s_0282[c],4h2oglt[c]
s_0283[m],4h2oglt[m]
s_0284[x],4h2oglt[x]
s_0285[c],4hthr[c]
s_0286[c],4hbz[c]
s_0287[m],4hbz[m]
s_0290[m],4hbzcoa[m]
s_0291[c],4mop[c]
s_0292[m],4mop[m]
s_0293[c],4mpetz[c]
s_0294[c],4met2obut[c]
s_0295[c],4pasp[c]
s_0296[c],4mzym[c]
s_0297[c],4bemet4alcaraci[c]
s_0298[c],aps[c]
s_0299[c],25aics[c]
s_0300[c],air[c]
s_0301[c],fgam[c]
s_0302[c],fpram[c]
s_0303[c],5mta[c]
s_0304[c],methf[c]
