r_0001,D_LACDcm
r_0002,D_LACDm
r_0003,BTDD_RR
r_0004,L_LACD2cm
r_0005,13BETGLUSYN
r_0006,16BETGLUSYN
r_0007,PRMICI
r_0012,P5CDm
r_0013,23DI5ME1PHDERE
r_0014,DRTPPD
r_0015,DRPPPNRED25645
r_0016,ACHBSm
r_0017,AHHM246
r_0018,AATA
r_0019,DPR
r_0020,DDPAm
r_0021,2HPMBQMTm
r_0022,2HP6MPMOm
r_0023,IPPMIb
r_0024,IPPS
r_0025,IPPSm
r_0026,ARAT_copy
r_0027,2METDEH
r_0028,MCITSm
r_0029,OMCDC
r_0030,OMCDCm
r_0032,BPNT
r_0033,PDE1
r_0034,PDE2
r_0035,PDE3
r_0036,PDE4
r_0037,PDE5
r_0038,DB4PS
r_0039,DHQTi
r_0040,DHQS
r_0041,3DSPHRr
r_0042,DDPA
r_0043,3OPHB5Hm
r_0044,3HPH5MBDCm_copy
r_0045,HKYNH
r_0057,HACD6p
r_0058,3HAO
r_0059,3ISO3MET
r_0060,IPPMIa
r_0061,IPMD
r_0062,3MOBDC
r_0063,MTMOHT
r_0064,3MOPDC
r_0065,PSCVT
r_0066,ADCS
r_0067,ADCL
r_0068,ABTA
r_0069,4HTHRS
r_0070,4HBZFm
r_0072,4MOPDC
r_0073,4PPIP5DEPTOIP6
r_0074,4PPIP5PYR45PP2IP4
r_0075,MTAP
r_0076,NTD4
r_0077,NTD11
r_0078,NTD2
r_0079,PRFGS
r_0080,MTHFR3
r_0081,ALASm
r_0082,PMI12346PH_copy
r_0083,PMI12346PS_copy
r_0084,FTHFCL
r_0085,MHPGLUT
r_0086,MDRPD
r_0087,MTRI
r_0088,5PPIP5PYR45PP2IP4
r_0089,5PPIP5PYR56PP2IP4
r_0090,PFK26
r_0091,PGL
r_0092,6PPIP5DEPTOIP6
r_0093,6PPIP5PYR56PP2IP4
r_0094,AOXSr_copy
r_0095,ACALDCD
r_0096,ACEACIISO
r_0097,ACESYN
r_0099,ACOATAm
r_0100,ACACT8p
r_0101,ACACT9p
r_0102,ACACT7p
r_0103,ACACT1r
r_0104,ACACT1m
r_0105,ACACT6p
r_0106,ACACT4p
r_0107,ACACT5r_1p
r_0108,ACCOACrm
r_0109,ACCOAC
r_0111,ACOAHim
r_0112,ACS
r_0113,ACSm
r_0114,ACSn
r_0115,ACGKm
r_0116,ACP1e
r_0117,ACONT3m
r_0118,ACOTAim
r_0119,ACPSm
r_0120,ACYCOAOXIDECCOA
r_0121,ACOAO5p
r_0122,ACOAO9p
r_0123,ACOAO7p
r_0124,ACOAO8p
r_0125,ACOAO6p
r_0126,ACOCEATRerm1
r_0127,ACOCEATRerm2
r_0128,ACOCFATRerm
r_0129,ACOCLATRerm
r_0130,ACOCZATRerm
r_0131,ACPCEATRerm1
r_0132,ACPCEATRerm2
r_0133,ACPCFATRerm
r_0134,ACPCLATRerm
r_0135,ACPCZATRerm
r_0137,ACGPIN2POGPANASST3
r_0138,ADD
r_0139,ADPT
r_0140,ADA
r_0142,ADNK1
r_0143,AMPDA
r_0144,AHCi
r_0145,ADMDC
r_0146,AMAOTr
r_0147,ADNCYC
r_0148,ADK1
r_0149,ADK1m
r_0150,ADK3m
r_0151,ADSL2r
r_0152,ADSL1r
r_0153,ADSS
r_0154,ADSK
r_0155,23CAPPD
r_0156,AGTi
r_0157,ALATRS
r_0158,OHACT3
r_0159,ALCACEETH
r_0160,OHACT2
r_0161,OHACT4
r_0162,OHACT5
r_0163,ALCD2x
r_0164,ALCD19y
r_0165,ALCD2irm
r_0166,ALCD22xi
r_0167,ALCD22xim
r_0168,ALCD22yi
r_0169,ALCD25xi
r_0170,ALCD25xim
r_0171,ALCD25yi
r_0172,ALDD22x
r_0173,ALDD2y
r_0174,ALDD2xm
r_0175,ALDD2ym
r_0176,ALDD20xm
r_0177,ALDD20y
r_0178,ALDD20ym
r_0179,ALCD24xi
r_0180,ALCD24xim
r_0181,ALCD24yi
r_0182,ALCD23xi
r_0183,ALCD23xim
r_0184,ALCD23yi
r_0185,ALDD19xr
r_0186,ALCD26xi
r_0187,ALCD26xim
r_0188,AKP1
r_0189,ALLTAHr
r_0190,ALLTN
r_0191,ALPHNH
r_0192,ALP12MAN
r_0193,TREHv
r_0194,TREH
r_0195,TRE6PS
r_0198,MALT
r_0199,AMID
r_0200,AACTOOR
r_0201,ABUTDm
r_0202,ANPRT
r_0203,ANS
r_0204,AP4AH
r_0205,ARABR
r_0206,ARGN
r_0207,ARGSL
r_0208,ARGSS
r_0209,ARGTRS
r_0210,ARGTRSm
r_0211,ASNS1
r_0212,ASNTRS
r_0213,ASNTRSm
r_0214,ASPCT
r_0215,ASPK
r_0216,ASPTA
r_0217,ASPTAm
r_0218,ASPTAp
r_0219,ASAD
r_0220,ASPTRS
r_0221,ASPTRSm
r_0222,ATPATF1
r_0223,ATPATF2
r_0224,ATPATF3
r_0225,ATPPRT
r_0226,ATPS3m
r_0227,ATPS
r_0228,BDMT_cho_copy
r_0229,BIOSYN
r_0230,BACCL
r_0231,C14STR
r_0233,C22STDS
r_0234,C3STEDEH
r_0235,C3STEDEH4MET
r_0236,STKEMERED34
r_0237,HMR_1509
r_0238,C4METSTEOXI
r_0239,HMR_1503
r_0240,C4METSTEOXI2
r_0241,SMDOXI444
r_0242,C5STDS
r_0243,C8STI
r_0244,C24STRer
r_0249,CAAFAR
r_0250,CBPS
r_0252,CSNATr
r_0253,CSNATp
r_0254,CSNATm
r_0255,CAT
r_0256,CATp
r_0259,CERH124r
r_0260,CER1HYDLAS24C
r_0261,CERH126r
r_0262,CER1HYDLAS26C
r_0263,CERS124er
r_0264,CERS126er
r_0265,CERS224er
r_0266,CERS226er
r_0267,CERS324r
r_0268,CERS326r
r_0269,CER4SYN24C
r_0270,CER4SYN26C
r_0271,CHIDEA
r_0272,CHISYN
r_0273,CHOLK
r_0274,CHLPCTD
r_0278,CHORM
r_0279,CHORS
r_0280,ACN_b_m
r_0281,FRTTlp
r_0282,GGTTlp
r_0283,PPTTlp
r_0284,HEXTTlp
r_0285,CISPRESTE05
r_0286,CISPRESTE06
r_0287,CISPRESTE07
r_0288,UDPDPSlp
r_0289,CISPRESTE09
r_0290,CISPRESTE10
r_0291,CISPRESTE11
r_0292,CISPRESTE12
r_0293,CISPRESTE13
r_0294,CISPRESTE14
r_0295,CISPRESTE15
r_0296,CISPRESTE16
r_0297,CISPRESTE17
r_0298,CISPRESTE18
r_0299,CISPRESTE19
r_0300,CSm
r_0301,CSp
r_0302,ACN_a_m
r_0303,ACONTa
r_0304,CPPPGO
r_0306,CTPS2
r_0307,CTPS1
r_0308,CYSTL
r_0309,CYSTS
r_0310,CYSTGL
r_0311,METB1
r_0312,CYSS
r_0313,CYSTRS
r_0314,CYTD
r_0315,CYTDK2
r_0317,LNS14DM
r_0318,CSND
r_0319,DARA14LACOXI
r_0320,ARAB1D1
r_0321,ARAB1D2
r_0322,FBA2
r_0323,SBTD_D2
r_0326,DCMPDA
r_0327,DCTPD
r_0328,DADA
r_0329,DCYTD
r_0330,DGK1
r_0331,DEOSYNCYTMIT
r_0332,DRBK
r_0334,DPCOAKm
r_0335,DBTS
r_0340,DIH
r_0341,DIH2
r_0342,DIH3
r_0343,DIH4
r_0344,DHFR
r_0345,DHFRim
r_0346,DHFS
r_0347,DHNPA2m
r_0348,DNMPPA
r_0349,DHORTS
r_0350,DIHSYN
r_0351,FOLD3m
r_0352,DHAD1m
r_0353,DHAD2m
r_0354,DHAK
r_0355,DMATT
r_0356,DPGM
r_0357,DTK1346
r_0358,DTKSYN1346
r_0359,DIPS
r_0360,DOLK
r_0361,DOLPMTcer
r_0362,DOLPMMer
r_0363,DTMPK
r_0364,DUTPDP
r_0365,EPGALURSe
r_0366,ENO
r_0368,ETHAK
r_0369,ETHACEHYDEST
r_0370,13BGHe
r_0373,FRTT
r_0399,FATACICOALIGDEC
r_0400,FACOAL120p
r_0402,FACOAL160p
r_0410,FACOAL80p
r_0412,FACOAL140p
r_0436,FCLTm
r_0437,CCP2m
r_0438,FERCOXOXI
r_0439,UBICRED
r_0440,FMNAT
r_0441,FMNRx
r_0442,FMNRx2
r_0443,FALDH
r_0445,FDH
r_0446,FTHFLi
r_0447,FTHFLmi
r_0448,FBP26
r_0449,FBP
r_0450,FBA
r_0451,FUMm
r_0452,FUM
r_0453,DHORDfum
r_0454,FRDm
r_0455,FRD
r_0457,GTMLT
r_0458,GALKr
r_0459,GALT
r_0460,GLUCYS
r_0461,GGTT
r_0462,GRTT
r_0463,GLCGSD
r_0464,GLCGSDv
r_0465,G6PDA
r_0466,G6PDH2r
r_0467,PGI
r_0468,GLU5K
r_0469,GLUDC
r_0470,GLUDxi
r_0471,GLUDy
r_0472,GLUSx
r_0473,G5SD
r_0475,GLUN
r_0476,GLNS
r_0477,GF6PTA
r_0478,GLNTRS
r_0479,GLUTRS
r_0480,GLUTRSm
r_0481,GTHOr
r_0482,GTHOm
r_0483,GTHPi
r_0484,GTHPm
r_0485,GTHS
r_0486,GAPD
r_0487,GLYCDy
r_0488,GLYK
r_0489,G3PT
r_0490,G3PDm
r_0491,G3PD1ir
r_0492,G3PD1irm
r_0497,GPDDA1
r_0499,GARFT
r_0500,GLYAT
r_0501,GLYCLm
r_0502,GHMT2r
r_0503,GHMT2rm
r_0504,GCC2am
r_0505,GCC2cm
r_0506,GCCam
r_0507,GCCbim
r_0508,GCCcm
r_0509,GCC2bim
r_0510,GLYSTASYN
r_0511,GLCP
r_0512,GLYTRS
r_0514,GMPS2
r_0518,ACGPIDr
r_0519,GPIANCASSSTE5
r_0520,GPIANCASSSTE6
r_0521,GPIANCASSSTE7
r_0522,GPIANCASSSTE8
r_0523,GPIANCASSSTE9
r_0524,GTPCI
r_0525,GTPCII2
r_0526,GUAD
r_0527,GUAPRT
r_0528,GK1
r_0529,GK2
r_0530,HEMEOMOm
r_0531,HEMEOSm
r_0532,HEXAPRBENMET
r_0533,HEX7
r_0534,HEX1
r_0535,HEX4
r_0536,HISTD
r_0537,HISTP
r_0538,HSTPT
r_0539,HISTRS
r_0540,HISTRSm
r_0541,ARMT
r_0542,HACNHm
r_0543,HOMSYN
r_0544,HCYSMT
r_0545,HOMDEH
r_0546,HSDxi
r_0547,HSDy
r_0548,HSK
r_0549,HSERTA
r_0550,THIORDXi
r_0551,THIORDXm
r_0552,THIORDXp
r_0553,GLYOX
r_0554,GLYOXm
r_0555,HBZOPT6m
r_0556,HETZK
r_0557,HMBS
r_0558,HMGCOAR
r_0559,HMGCOAS
r_0560,HMGCOASm
r_0561,HMPK1
r_0562,HXPRT
r_0563,IG3PS
r_0564,IGPDH
r_0565,IMPD
r_0566,IGPS
r_0567,INDPYRD
r_0568,PPA
r_0569,PPAm
r_0570,IMPC
r_0571,IPKIN134562
r_0572,ITKIN13456n
r_0573,ITKKIN14563n
r_0574,ITKIN1456n
r_0575,MI145PKn_copy
r_0596,IPSPHOC
r_0597,IPSPHOC2
r_0598,IPSPHOC3
r_0599,IPSPHOC4
r_0600,IPSPHOC5
r_0601,IPSPHOC6
r_0602,IPSPHOC7
r_0603,IPSPHOC8
r_0604,IPSPHOC9
r_0605,IPSPHOC10
r_0606,IPSPHOC11
r_0607,IPSPHOC12
r_0608,IPSPHOC13
r_0609,IPSPHOC14
r_0610,IPSPHOC15
r_0611,IPSPHOC16
