%									
#for modification of rxnID and/or notation of alternative rxnID 	#Note: rxnID will be removed if the reaction described is significantly different from the reaction in model								
#model.rxns	model.rxnMetaNetXID	new_MNXRID	alternative_MNXRID	model.rxnKEGGID	new_rxnKEGGID	alternative_rxnKEGGID	Notes	MNXNotes	KEGGNotes
r_0001	MNXR106428	MNXR138960	[]	R00197	[]	[]	r_0001: changed MNXRID MNXR106428 to MNXR138960	| MNXRID MNXR106428 is deprecated in MNX database	[]
r_0002	MNXR106428	MNXR138960	[]	R00197	[]	[]	r_0002: changed MNXRID MNXR106428 to MNXR138960	| MNXRID MNXR106428 is deprecated in MNX database	[]
r_0004	MNXR106427	MNXR138959	[]	R00196	[]	[]	r_0004: changed MNXRID MNXR106427 to MNXR138959	| MNXRID MNXR106427 is deprecated in MNX database	[]
r_0005	MNXR107959	MNXR143499	[]	R03118	[]	[]	r_0005: changed MNXRID MNXR107959 to MNXR143499	| MNXRID MNXR107959 is deprecated in MNX database	[]
r_0014	MNXR112805	[]	[]	[]	R09377	[]	r_0014: added new rxnKEGGID R09377 into model	[]	| R09377 is linked to MNXR112805 as external resources in MNX database
r_0027	MNXR108174	MNXR141287	[]	R03444	[]	[]	r_0027: changed MNXRID MNXR108174 to MNXR141287	| MNXRID MNXR108174 is deprecated in MNX database	[]
r_0058	MNXR94889	[]	[]	[]	R02665	[]	r_0058: added new rxnKEGGID R02665 into model	[]	| R02665 is linked to MNXR94889 as external resources in MNX database
r_0072	MNXR95033	MNXR137950	[]	[]	[]	[]	r_0072: changed MNXRID MNXR95033 to MNXR137950	| MNXRID MNXR95033 is deprecated in MNX database	[]
r_0086	MNXR101445	MNXR125830	[]	R07392	[]	[]	r_0086: changed MNXRID MNXR101445 to MNXR125830	| MNXRID MNXR101445 is deprecated in MNX database	[]
r_0093	[]	[]	MNXR112453	[]	[]	R08964	r_0093: alternative MNXRID MNXR112453 found | alternative rxnKEGGID R08964 found	[]	[]
r_0179	MNXR95720	MNXR138038	[]	R05685	[]	[]	r_0179: changed MNXRID MNXR95720 to MNXR138038	| MNXRID MNXR95720 is deprecated in MNX database	[]
r_0180	MNXR95720	MNXR138038	[]	R05685	[]	[]	r_0180: changed MNXRID MNXR95720 to MNXR138038	| MNXRID MNXR95720 is deprecated in MNX database	[]
r_0181	MNXR95721	MNXR138039	[]	R05686	[]	[]	r_0181: changed MNXRID MNXR95721 to MNXR138039	| MNXRID MNXR95721 is deprecated in MNX database	[]
