Abbreviation	Description	Charged formula	Charge	Compartment	KEGG ID	ChEBI ID
s_0001[ce]	(1->3)-beta-D-glucan [cell envelope]	(C6H10O5)n	0	cell envelope	C00965	CHEBI:37671
s_0002[c]	(1->3)-beta-D-glucan [cytoplasm]	(C6H10O5)n	0	cytoplasm	C00965	CHEBI:37671
s_0003[e]	(1->3)-beta-D-glucan [extracellular]	(C6H10O5)n	0	extracellular	C00965	CHEBI:37671
s_0004[ce]	(1->6)-beta-D-glucan [cell envelope]	C12H22O11(C6H10O5)n	0	cell envelope	C02493	CHEBI:27380
s_0006[m]	(2-amino-4-hydroxy-7,8-dihydropteridin-6-yl)methyl trihydrogen diphosphate [mitochondrion]	C7H8N5O8P2	-3	mitochondrion	C04807	CHEBI:57602
s_0007[c]	(2E)-3-(methoxycarbonyl)pent-2-enedioic acid [cytoplasm]	C7H6O6	-2	cytoplasm	C11514	CHEBI:57470
s_0008[m]	(2R,3R)-2,3-dihydroxy-3-methylpentanoate [mitochondrion]	C6H11O4	-1	mitochondrion	C06007	CHEBI:49258
s_0009[c]	(2R,3S)-3-isopropylmalate [cytoplasm]	C7H10O5	-2	cytoplasm	C04411	CHEBI:35121
s_0010[c]	(2S)-2-isopropyl-3-oxosuccinate [cytoplasm]	C7H8O5	-2	cytoplasm	C04236	CHEBI:17214
s_0011[m]	(2S)-2-isopropyl-3-oxosuccinate [mitochondrion]	C7H8O5	-2	mitochondrion	C04236	CHEBI:17214
s_0012[m]	(2S,3R)-3-hydroxybutane-1,2,3-tricarboxylic acid [mitochondrion]	C7H7O7	-3	mitochondrion	C04593	CHEBI:57429
s_0013[c]	(5S,6S)-di-HETE [cytoplasm]	C20H32O4	0	cytoplasm		CHEBI:53026
s_0014[n]	(5S,6S)-di-HETE [nucleus]	C20H32O4	0	nucleus		CHEBI:53026
s_0015[c]	(N(omega)-L-arginino)succinic acid [cytoplasm]	C10H17N4O6	-1	cytoplasm	C03406	CHEBI:57472
s_0016[m]	(R)-2,3-dihydroxy-3-methylbutanoate [mitochondrion]	C5H9O4	-1	mitochondrion	C04272	CHEBI:49072
s_0017[c]	(R)-4'-phosphopantothenic acid [cytoplasm]	C9H18NO8P	0	cytoplasm	C03492	CHEBI:15905
s_0018[c]	(R)-5-diphosphomevalonic acid [cytoplasm]	C6H10O10P2	-4	cytoplasm	C01143	CHEBI:57557
s_0019[c]	(R)-5-phosphomevalonic acid [cytoplasm]	C6H10O7P	-3	cytoplasm	C01107	CHEBI:58146
s_0020[c]	(R)-acetoin [cytoplasm]	C4H8O2	0	cytoplasm	C00810	CHEBI:15686
s_0021[c]	(R)-carnitine [cytoplasm]	C7H15NO3	0	cytoplasm	C00318	CHEBI:16347
