s_0003[e]	(1->3)-beta-D-glucan [extracellular]
s_0022[e]	(R)-carnitine [extracellular]
s_0026[e]	(R)-lactate [extracellular]
s_0029[e]	(R)-mevalonate [extracellular]
s_0032[e]	(R)-pantothenate [extracellular]
s_0036[e]	(R,R)-2,3-butanediol [extracellular]
s_0058[e]	(S)-3-methyl-2-oxopentanoate [extracellular]
s_0064[e]	(S)-lactate [extracellular]
s_0067[e]	(S)-malate [extracellular]
s_0080[e]	1-(sn-glycero-3-phospho)-1D-myo-inositol [extracellular]
s_0084[e]	1-acylglycerophosphocholine [extracellular]
s_0133[e]	2'-deoxyadenosine [extracellular]
s_0135[e]	2'-deoxyguanosine [extracellular]
s_0137[e]	2'-deoxyinosine [extracellular]
s_0139[e]	2'-deoxyuridine [extracellular]
s_0163[e]	2-isopropylmalate [extracellular]
s_0167[e]	2-methylbutanal [extracellular]
s_0170[e]	2-methylbutanol [extracellular]
s_0173[e]	2-methylbutyl acetate [extracellular]
s_0181[e]	2-oxoglutarate [extracellular]
s_0186[e]	2-phenylethanol [extracellular]
s_0235[e]	3-methylbutanal [extracellular]
s_0272[e]	4-aminobenzoate [extracellular]
s_0316[e]	5-aminolevulinate [extracellular]
s_0320[e]	5-formyltetrahydrofolic acid [extracellular]
s_0342[e]	7,8-diaminononanoate [extracellular]
s_0354[e]	8-amino-7-oxononanoate [extracellular]
s_0358[e]	9H-xanthine [extracellular]
s_0360[e]	acetaldehyde [extracellular]
s_0364[e]	acetate [extracellular]
s_0384[e]	adenine [extracellular]
s_0391[e]	adenosine 3',5'-bismonophosphate [extracellular]
s_0387[e]	adenosine [extracellular]
s_0406[e]	allantoate [extracellular]
s_0408[e]	allantoin [extracellular]
s_1521[e]	trehalose [extracellular]
s_0413[e]	alpha-D-glucosamine 6-phosphate [extracellular]
s_0420[e]	ammonium [extracellular]
s_0446[e]	bicarbonate [extracellular]
s_0452[e]	biotin [extracellular]
s_0458[e]	carbon dioxide [extracellular]
s_0513[e]	choline [extracellular]
s_0523[e]	citrate [extracellular]
s_0544[e]	cytidine [extracellular]
s_0546[e]	cytosine [extracellular]
s_0549[e]	D-arabinose [extracellular]
s_0554[e]	D-fructose [extracellular]
s_0559[e]	D-galactose [extracellular]
s_0560[e]	D-galacturonate [extracellular]
s_0562[e]	D-glucitol [extracellular]
s_0565[e]	D-glucose [extracellular]
s_0572[e]	D-mannose [extracellular]
s_0576[e]	D-ribose [extracellular]
s_0579[e]	D-xylose [extracellular]
s_0597[e]	decanoate [extracellular]
s_0611[e]	deoxycytidine [extracellular]
s_0651[e]	dTTP [extracellular]
s_0659[e]	episterol [extracellular]
s_0668[e]	ergosterol [extracellular]
s_0681[e]	ethanol [extracellular]
s_0684[e]	ethanolamine [extracellular]
s_0686[e]	ethyl acetate [extracellular]
s_0702[e]	fecosterol [extracellular]
s_0715[e]	FMN [extracellular]
s_0720[e]	folate [extracellular]
s_0723[e]	formate [extracellular]
s_0726[e]	fumarate [extracellular]
s_0736[e]	gamma-aminobutyrate [extracellular]
s_0755[e]	glutathione disulfide [extracellular]
s_0751[e]	glutathione [extracellular]
s_0766[e]	glycerol [extracellular]
s_1004[e]	L-glycine [extracellular]
s_0776[e]	glycolaldehyde [extracellular]
s_0780[e]	glyoxylate [extracellular]
s_0788[e]	guanine [extracellular]
s_0791[e]	guanosine [extracellular]
s_0796[e]	H+ [extracellular]
s_0826[e]	hexadecanal [extracellular]
s_0844[e]	hypoxanthine [extracellular]
s_0851[e]	indol-3-ylacetaldehyde [extracellular]
s_0857[e]	inosine [extracellular]
s_0925[e]	iron(2+) [extracellular]
s_0928[e]	isoamyl acetate [extracellular]
s_0930[e]	isoamylol [extracellular]
s_0933[e]	isobutanol [extracellular]
s_0936[e]	isobutyl acetate [extracellular]
